rgn_id,year,taxa_code,sust_coeff
1,2012,Atlantic cod_623,0.17
1,2012,Atlantic halibut_624,0.533333333
1,2012,Atlantic salmon_625,0.3
1,2012,Blue mussel_626,0.93
1,2012,Common edible cockle_627,0.733333333
1,2012,Cupped oysters nei_628,0.87
1,2012,European flat oyster_629,0.83
1,2012,European seabass_630,0.5
1,2012,Great Atlantic scallop_631,0.811764706
1,2012,Grooved carpet shell_632,0.866666667
1,2012,Japanese carpet shell_633,0.841666667
1,2012,Northern quahog(=Hard clam)_634,0.811764706
1,2012,Pacific cupped oyster_635,0.83
1,2012,Queen scallop_636,0.811764706
1,2012,Rainbow trout_637,0.566666667
1,2012,Rainbow trout_638,0.566666667
1,2012,Sea trout_639,0.466666667
1,2012,Turbot_640,0.5
2,2012,Atlantic cod_623,0.17
2,2012,Atlantic halibut_624,0.533333333
2,2012,Atlantic salmon_625,0.3
2,2012,Blue mussel_626,0.93
2,2012,Common edible cockle_627,0.733333333
2,2012,Cupped oysters nei_628,0.87
2,2012,European flat oyster_629,0.83
2,2012,European seabass_630,0.5
2,2012,Great Atlantic scallop_631,0.811764706
2,2012,Grooved carpet shell_632,0.866666667
2,2012,Japanese carpet shell_633,0.841666667
2,2012,Northern quahog(=Hard clam)_634,0.811764706
2,2012,Pacific cupped oyster_635,0.83
2,2012,Queen scallop_636,0.811764706
2,2012,Rainbow trout_637,0.566666667
2,2012,Rainbow trout_638,0.566666667
2,2012,Sea trout_639,0.466666667
2,2012,Turbot_640,0.5
3,2012,Atlantic cod_623,0.17
3,2012,Atlantic halibut_624,0.533333333
3,2012,Atlantic salmon_625,0.3
3,2012,Blue mussel_626,0.93
3,2012,Common edible cockle_627,0.733333333
3,2012,Cupped oysters nei_628,0.87
3,2012,European flat oyster_629,0.83
3,2012,European seabass_630,0.5
3,2012,Great Atlantic scallop_631,0.811764706
3,2012,Grooved carpet shell_632,0.866666667
3,2012,Japanese carpet shell_633,0.841666667
3,2012,Northern quahog(=Hard clam)_634,0.811764706
3,2012,Pacific cupped oyster_635,0.83
3,2012,Queen scallop_636,0.811764706
3,2012,Rainbow trout_637,0.566666667
3,2012,Rainbow trout_638,0.566666667
3,2012,Sea trout_639,0.466666667
3,2012,Turbot_640,0.5
4,2012,Atlantic cod_623,0.17
4,2012,Atlantic halibut_624,0.533333333
4,2012,Atlantic salmon_625,0.3
4,2012,Blue mussel_626,0.93
4,2012,Common edible cockle_627,0.733333333
4,2012,Cupped oysters nei_628,0.87
4,2012,European flat oyster_629,0.83
4,2012,European seabass_630,0.5
4,2012,Great Atlantic scallop_631,0.811764706
4,2012,Grooved carpet shell_632,0.866666667
4,2012,Japanese carpet shell_633,0.841666667
4,2012,Northern quahog(=Hard clam)_634,0.811764706
4,2012,Pacific cupped oyster_635,0.83
4,2012,Queen scallop_636,0.811764706
4,2012,Rainbow trout_637,0.566666667
4,2012,Rainbow trout_638,0.566666667
4,2012,Sea trout_639,0.466666667
4,2012,Turbot_640,0.5
5,2012,Atlantic cod_623,0.17
5,2012,Atlantic halibut_624,0.533333333
5,2012,Atlantic salmon_625,0.3
5,2012,Blue mussel_626,0.93
5,2012,Common edible cockle_627,0.733333333
5,2012,Cupped oysters nei_628,0.87
5,2012,European flat oyster_629,0.83
5,2012,European seabass_630,0.5
5,2012,Great Atlantic scallop_631,0.811764706
5,2012,Grooved carpet shell_632,0.866666667
5,2012,Japanese carpet shell_633,0.841666667
5,2012,Northern quahog(=Hard clam)_634,0.811764706
5,2012,Pacific cupped oyster_635,0.83
5,2012,Queen scallop_636,0.811764706
5,2012,Rainbow trout_637,0.566666667
5,2012,Rainbow trout_638,0.566666667
5,2012,Sea trout_639,0.466666667
5,2012,Turbot_640,0.5
6,2012,Atlantic cod_623,0.17
6,2012,Atlantic halibut_624,0.533333333
6,2012,Atlantic salmon_625,0.3
6,2012,Blue mussel_626,0.93
6,2012,Common edible cockle_627,0.733333333
6,2012,Cupped oysters nei_628,0.87
6,2012,European flat oyster_629,0.83
6,2012,European seabass_630,0.5
6,2012,Great Atlantic scallop_631,0.811764706
6,2012,Grooved carpet shell_632,0.866666667
6,2012,Japanese carpet shell_633,0.841666667
6,2012,Northern quahog(=Hard clam)_634,0.811764706
6,2012,Pacific cupped oyster_635,0.83
6,2012,Queen scallop_636,0.811764706
6,2012,Rainbow trout_637,0.566666667
6,2012,Rainbow trout_638,0.566666667
6,2012,Sea trout_639,0.466666667
6,2012,Turbot_640,0.5
7,2012,Atlantic cod_623,0.17
7,2012,Atlantic halibut_624,0.533333333
7,2012,Atlantic salmon_625,0.3
7,2012,Blue mussel_626,0.93
7,2012,Common edible cockle_627,0.733333333
7,2012,Cupped oysters nei_628,0.87
7,2012,European flat oyster_629,0.83
7,2012,European seabass_630,0.5
7,2012,Great Atlantic scallop_631,0.811764706
7,2012,Grooved carpet shell_632,0.866666667
7,2012,Japanese carpet shell_633,0.841666667
7,2012,Northern quahog(=Hard clam)_634,0.811764706
7,2012,Pacific cupped oyster_635,0.83
7,2012,Queen scallop_636,0.811764706
7,2012,Rainbow trout_637,0.566666667
7,2012,Rainbow trout_638,0.566666667
7,2012,Sea trout_639,0.466666667
7,2012,Turbot_640,0.5
8,2012,Atlantic cod_623,0.17
8,2012,Atlantic halibut_624,0.533333333
8,2012,Atlantic salmon_625,0.3
8,2012,Blue mussel_626,0.93
8,2012,Common edible cockle_627,0.733333333
8,2012,Cupped oysters nei_628,0.87
8,2012,European flat oyster_629,0.83
8,2012,European seabass_630,0.5
8,2012,Great Atlantic scallop_631,0.811764706
8,2012,Grooved carpet shell_632,0.866666667
8,2012,Japanese carpet shell_633,0.841666667
8,2012,Northern quahog(=Hard clam)_634,0.811764706
8,2012,Pacific cupped oyster_635,0.83
8,2012,Queen scallop_636,0.811764706
8,2012,Rainbow trout_637,0.566666667
8,2012,Rainbow trout_638,0.566666667
8,2012,Sea trout_639,0.466666667
8,2012,Turbot_640,0.5
9,2012,Atlantic cod_623,0.17
9,2012,Atlantic halibut_624,0.533333333
9,2012,Atlantic salmon_625,0.3
9,2012,Blue mussel_626,0.93
9,2012,Common edible cockle_627,0.733333333
9,2012,Cupped oysters nei_628,0.87
9,2012,European flat oyster_629,0.83
9,2012,European seabass_630,0.5
9,2012,Great Atlantic scallop_631,0.811764706
9,2012,Grooved carpet shell_632,0.866666667
9,2012,Japanese carpet shell_633,0.841666667
9,2012,Northern quahog(=Hard clam)_634,0.811764706
9,2012,Pacific cupped oyster_635,0.83
9,2012,Queen scallop_636,0.811764706
9,2012,Rainbow trout_637,0.566666667
9,2012,Rainbow trout_638,0.566666667
9,2012,Sea trout_639,0.466666667
9,2012,Turbot_640,0.5
